,,,,,,,,,,,,,,,,,,,,,,,,
,Orig. Cost Basis,Adj. Cost Basis,,,,,,,,,"=IF(E12="""","""",IF(AND(F12=""Stock"",G12=""Buy""),(100*((J12*K12)*-1)),IF(AND(F12=""Call"",G12=""Buy""),(100*((J12*K12)*-1)),IF(AND(F12=""PUT"",G12=""Buy""),(100*((J12*K12)*-1)),100*(J12*K12)))))",,,,"=IF(E12="""","""",IF(AND(F12=""Stock"",G12=""Buy""),(100*((J12*O12)*1)),IF(AND(F12=""Call"",G12=""Buy""),(100*((J12*O12)*1)),IF(AND(F12=""PUT"",G12=""Buy""),(100*((J12*O12)*1)),(100*(J12*O12))*-1))))","=IF(L12="""","""",L12+P12)","=IF(AND(E12="""",N12=""""),"""",IF(N12="""",TODAY()-E12,N12-E12))",,,,,,,"=IF(W12="""","""",(W12*X12)*-1)"
,"=IF(W7="""",0,(B10/SUM(W7:W32))*-1)","=IF(W7="""",0,((SUM(B22,B10)/SUM(W7:W32)))*-1)",,,,,,,,,"=IF(E13="""","""",IF(AND(F13=""Stock"",G13=""Buy""),(100*((J13*K13)*-1)),IF(AND(F13=""Call"",G13=""Buy""),(100*((J13*K13)*-1)),IF(AND(F13=""PUT"",G13=""Buy""),(100*((J13*K13)*-1)),100*(J13*K13)))))",,,,"=IF(E13="""","""",IF(AND(F13=""Stock"",G13=""Buy""),(100*((J13*O13)*1)),IF(AND(F13=""Call"",G13=""Buy""),(100*((J13*O13)*1)),IF(AND(F13=""PUT"",G13=""Buy""),(100*((J13*O13)*1)),(100*(J13*O13))*-1))))","=IF(L13="""","""",L13+P13)","=IF(AND(E13="""",N13=""""),"""",IF(N13="""",TODAY()-E13,N13-E13))",,,,,,,"=IF(W13="""","""",(W13*X13)*-1)"
,,,,,,,,,,,"=IF(E14="""","""",IF(AND(F14=""Stock"",G14=""Buy""),(100*((J14*K14)*-1)),IF(AND(F14=""Call"",G14=""Buy""),(100*((J14*K14)*-1)),IF(AND(F14=""PUT"",G14=""Buy""),(100*((J14*K14)*-1)),100*(J14*K14)))))",,,,"=IF(E14="""","""",IF(AND(F14=""Stock"",G14=""Buy""),(100*((J14*O14)*1)),IF(AND(F14=""Call"",G14=""Buy""),(100*((J14*O14)*1)),IF(AND(F14=""PUT"",G14=""Buy""),(100*((J14*O14)*1)),(100*(J14*O14))*-1))))","=IF(L14="""","""",L14+P14)","=IF(AND(E14="""",N14=""""),"""",IF(N14="""",TODAY()-E14,N14-E14))",,,,,,,"=IF(W14="""","""",(W14*X14)*-1)"
,Overall Profit,Profit (%),,,,,,,,,"=IF(E15="""","""",IF(AND(F15=""Stock"",G15=""Buy""),(100*((J15*K15)*-1)),IF(AND(F15=""Call"",G15=""Buy""),(100*((J15*K15)*-1)),IF(AND(F15=""PUT"",G15=""Buy""),(100*((J15*K15)*-1)),100*(J15*K15)))))",,,,"=IF(E15="""","""",IF(AND(F15=""Stock"",G15=""Buy""),(100*((J15*O15)*1)),IF(AND(F15=""Call"",G15=""Buy""),(100*((J15*O15)*1)),IF(AND(F15=""PUT"",G15=""Buy""),(100*((J15*O15)*1)),(100*(J15*O15))*-1))))","=IF(L15="""","""",L15+P15)","=IF(AND(E15="""",N15=""""),"""",IF(N15="""",TODAY()-E15,N15-E15))",,,,,,,"=IF(W15="""","""",(W15*X15)*-1)"
,"=SUM(B19,B22)","=IF(B10=0,1,($B$16/$B$10)*-1)",,,,,,,,,"=IF(E16="""","""",IF(AND(F16=""Stock"",G16=""Buy""),(100*((J16*K16)*-1)),IF(AND(F16=""Call"",G16=""Buy""),(100*((J16*K16)*-1)),IF(AND(F16=""PUT"",G16=""Buy""),(100*((J16*K16)*-1)),100*(J16*K16)))))",,,,"=IF(E16="""","""",IF(AND(F16=""Stock"",G16=""Buy""),(100*((J16*O16)*1)),IF(AND(F16=""Call"",G16=""Buy""),(100*((J16*O16)*1)),IF(AND(F16=""PUT"",G16=""Buy""),(100*((J16*O16)*1)),(100*(J16*O16))*-1))))","=IF(L16="""","""",L16+P16)","=IF(AND(E16="""",N16=""""),"""",IF(N16="""",TODAY()-E16,N16-E16))",,,,,,,"=IF(W16="""","""",(W16*X16)*-1)"
,,,,,,,,,,,"=IF(E17="""","""",IF(AND(F17=""Stock"",G17=""Buy""),(100*((J17*K17)*-1)),IF(AND(F17=""Call"",G17=""Buy""),(100*((J17*K17)*-1)),IF(AND(F17=""PUT"",G17=""Buy""),(100*((J17*K17)*-1)),100*(J17*K17)))))",,,,"=IF(E17="""","""",IF(AND(F17=""Stock"",G17=""Buy""),(100*((J17*O17)*1)),IF(AND(F17=""Call"",G17=""Buy""),(100*((J17*O17)*1)),IF(AND(F17=""PUT"",G17=""Buy""),(100*((J17*O17)*1)),(100*(J17*O17))*-1))))","=IF(L17="""","""",L17+P17)","=IF(AND(E17="""",N17=""""),"""",IF(N17="""",TODAY()-E17,N17-E17))",,,,,,,"=IF(W17="""","""",(W17*X17)*-1)"
,Curr. Stock Profit,Profit (%),,,,,,,,,"=IF(E18="""","""",IF(AND(F18=""Stock"",G18=""Buy""),(100*((J18*K18)*-1)),IF(AND(F18=""Call"",G18=""Buy""),(100*((J18*K18)*-1)),IF(AND(F18=""PUT"",G18=""Buy""),(100*((J18*K18)*-1)),100*(J18*K18)))))",,,,"=IF(E18="""","""",IF(AND(F18=""Stock"",G18=""Buy""),(100*((J18*O18)*1)),IF(AND(F18=""Call"",G18=""Buy""),(100*((J18*O18)*1)),IF(AND(F18=""PUT"",G18=""Buy""),(100*((J18*O18)*1)),(100*(J18*O18))*-1))))","=IF(L18="""","""",L18+P18)","=IF(AND(E18="""",N18=""""),"""",IF(N18="""",TODAY()-E18,N18-E18))",,,,,,,"=IF(W18="""","""",(W18*X18)*-1)"
,=C10+B10,"=IF(B19=0,0,($B$19/$B$10)*-1)",,,,,,,,,"=IF(E19="""","""",IF(AND(F19=""Stock"",G19=""Buy""),(100*((J19*K19)*-1)),IF(AND(F19=""Call"",G19=""Buy""),(100*((J19*K19)*-1)),IF(AND(F19=""PUT"",G19=""Buy""),(100*((J19*K19)*-1)),100*(J19*K19)))))",,,,"=IF(E19="""","""",IF(AND(F19=""Stock"",G19=""Buy""),(100*((J19*O19)*1)),IF(AND(F19=""Call"",G19=""Buy""),(100*((J19*O19)*1)),IF(AND(F19=""PUT"",G19=""Buy""),(100*((J19*O19)*1)),(100*(J19*O19))*-1))))","=IF(L19="""","""",L19+P19)","=IF(AND(E19="""",N19=""""),"""",IF(N19="""",TODAY()-E19,N19-E19))",,,,,,,"=IF(W19="""","""",(W19*X19)*-1)"
,,,,,,,,,,,"=IF(E20="""","""",IF(AND(F20=""Stock"",G20=""Buy""),(100*((J20*K20)*-1)),IF(AND(F20=""Call"",G20=""Buy""),(100*((J20*K20)*-1)),IF(AND(F20=""PUT"",G20=""Buy""),(100*((J20*K20)*-1)),100*(J20*K20)))))",,,,"=IF(E20="""","""",IF(AND(F20=""Stock"",G20=""Buy""),(100*((J20*O20)*1)),IF(AND(F20=""Call"",G20=""Buy""),(100*((J20*O20)*1)),IF(AND(F20=""PUT"",G20=""Buy""),(100*((J20*O20)*1)),(100*(J20*O20))*-1))))","=IF(L20="""","""",L20+P20)","=IF(AND(E20="""",N20=""""),"""",IF(N20="""",TODAY()-E20,N20-E20))",,,,,,,"=IF(W20="""","""",(W20*X20)*-1)"
,Wheel Profit,Profit (%),,,,,,,,,"=IF(E21="""","""",IF(AND(F21=""Stock"",G21=""Buy""),(100*((J21*K21)*-1)),IF(AND(F21=""Call"",G21=""Buy""),(100*((J21*K21)*-1)),IF(AND(F21=""PUT"",G21=""Buy""),(100*((J21*K21)*-1)),100*(J21*K21)))))",,,,"=IF(E21="""","""",IF(AND(F21=""Stock"",G21=""Buy""),(100*((J21*O21)*1)),IF(AND(F21=""Call"",G21=""Buy""),(100*((J21*O21)*1)),IF(AND(F21=""PUT"",G21=""Buy""),(100*((J21*O21)*1)),(100*(J21*O21))*-1))))","=IF(L21="""","""",L21+P21)","=IF(AND(E21="""",N21=""""),"""",IF(N21="""",TODAY()-E21,N21-E21))",,,,,,,"=IF(W21="""","""",(W21*X21)*-1)"
,=SUM(L7:L32)+SUM(P7:P32),"=IF($B$10=0,1,($B$22/$B$10)*-1)",,,,,,,,,"=IF(E22="""","""",IF(AND(F22=""Stock"",G22=""Buy""),(100*((J22*K22)*-1)),IF(AND(F22=""Call"",G22=""Buy""),(100*((J22*K22)*-1)),IF(AND(F22=""PUT"",G22=""Buy""),(100*((J22*K22)*-1)),100*(J22*K22)))))",,,,"=IF(E22="""","""",IF(AND(F22=""Stock"",G22=""Buy""),(100*((J22*O22)*1)),IF(AND(F22=""Call"",G22=""Buy""),(100*((J22*O22)*1)),IF(AND(F22=""PUT"",G22=""Buy""),(100*((J22*O22)*1)),(100*(J22*O22))*-1))))","=IF(L22="""","""",L22+P22)","=IF(AND(E22="""",N22=""""),"""",IF(N22="""",TODAY()-E22,N22-E22))",,,,,,,"=IF(W22="""","""",(W22*X22)*-1)"
,,,,,,,,,,,"=IF(E23="""","""",IF(AND(F23=""Stock"",G23=""Buy""),(100*((J23*K23)*-1)),IF(AND(F23=""Call"",G23=""Buy""),(100*((J23*K23)*-1)),IF(AND(F23=""PUT"",G23=""Buy""),(100*((J23*K23)*-1)),100*(J23*K23)))))",,,,"=IF(E23="""","""",IF(AND(F23=""Stock"",G23=""Buy""),(100*((J23*O23)*1)),IF(AND(F23=""Call"",G23=""Buy""),(100*((J23*O23)*1)),IF(AND(F23=""PUT"",G23=""Buy""),(100*((J23*O23)*1)),(100*(J23*O23))*-1))))","=IF(L23="""","""",L23+P23)","=IF(AND(E23="""",N23=""""),"""",IF(N23="""",TODAY()-E23,N23-E23))",,,,,,,"=IF(W23="""","""",(W23*X23)*-1)"
,Strike Profit,Profit (%),,,,,,,,,"=IF(E24="""","""",IF(AND(F24=""Stock"",G24=""Buy""),(100*((J24*K24)*-1)),IF(AND(F24=""Call"",G24=""Buy""),(100*((J24*K24)*-1)),IF(AND(F24=""PUT"",G24=""Buy""),(100*((J24*K24)*-1)),100*(J24*K24)))))",,,,"=IF(E24="""","""",IF(AND(F24=""Stock"",G24=""Buy""),(100*((J24*O24)*1)),IF(AND(F24=""Call"",G24=""Buy""),(100*((J24*O24)*1)),IF(AND(F24=""PUT"",G24=""Buy""),(100*((J24*O24)*1)),(100*(J24*O24))*-1))))","=IF(L24="""","""",L24+P24)","=IF(AND(E24="""",N24=""""),"""",IF(N24="""",TODAY()-E24,N24-E24))",,,,,,,"=IF(W24="""","""",(W24*X24)*-1)"
,"=IF(SUM(W7:W32)=0,0,(SUM(W7:W32)*C31)+B10)","=IF(B25=0,0,($B$25/$B$10)*-1)",,,,,,,,,"=IF(E25="""","""",IF(AND(F25=""Stock"",G25=""Buy""),(100*((J25*K25)*-1)),IF(AND(F25=""Call"",G25=""Buy""),(100*((J25*K25)*-1)),IF(AND(F25=""PUT"",G25=""Buy""),(100*((J25*K25)*-1)),100*(J25*K25)))))",,,,"=IF(E25="""","""",IF(AND(F25=""Stock"",G25=""Buy""),(100*((J25*O25)*1)),IF(AND(F25=""Call"",G25=""Buy""),(100*((J25*O25)*1)),IF(AND(F25=""PUT"",G25=""Buy""),(100*((J25*O25)*1)),(100*(J25*O25))*-1))))","=IF(L25="""","""",L25+P25)","=IF(AND(E25="""",N25=""""),"""",IF(N25="""",TODAY()-E25,N25-E25))",,,,,,,"=IF(W25="""","""",(W25*X25)*-1)"
,,,,,,,,,,,"=IF(E26="""","""",IF(AND(F26=""Stock"",G26=""Buy""),(100*((J26*K26)*-1)),IF(AND(F26=""Call"",G26=""Buy""),(100*((J26*K26)*-1)),IF(AND(F26=""PUT"",G26=""Buy""),(100*((J26*K26)*-1)),100*(J26*K26)))))",,,,"=IF(E26="""","""",IF(AND(F26=""Stock"",G26=""Buy""),(100*((J26*O26)*1)),IF(AND(F26=""Call"",G26=""Buy""),(100*((J26*O26)*1)),IF(AND(F26=""PUT"",G26=""Buy""),(100*((J26*O26)*1)),(100*(J26*O26))*-1))))","=IF(L26="""","""",L26+P26)","=IF(AND(E26="""",N26=""""),"""",IF(N26="""",TODAY()-E26,N26-E26))",,,,,,,"=IF(W26="""","""",(W26*X26)*-1)"
,Exercised Profit,Profit (%),,,,,,,,,"=IF(E27="""","""",IF(AND(F27=""Stock"",G27=""Buy""),(100*((J27*K27)*-1)),IF(AND(F27=""Call"",G27=""Buy""),(100*((J27*K27)*-1)),IF(AND(F27=""PUT"",G27=""Buy""),(100*((J27*K27)*-1)),100*(J27*K27)))))",,,,"=IF(E27="""","""",IF(AND(F27=""Stock"",G27=""Buy""),(100*((J27*O27)*1)),IF(AND(F27=""Call"",G27=""Buy""),(100*((J27*O27)*1)),IF(AND(F27=""PUT"",G27=""Buy""),(100*((J27*O27)*1)),(100*(J27*O27))*-1))))","=IF(L27="""","""",L27+P27)","=IF(AND(E27="""",N27=""""),"""",IF(N27="""",TODAY()-E27,N27-E27))",,,,,,,"=IF(W27="""","""",(W27*X27)*-1)"
,"=SUM(B22,B25)","=IF(B10=0,1,($B$25/$B$10)*-1)",,,,,,,,,"=IF(E28="""","""",IF(AND(F28=""Stock"",G28=""Buy""),(100*((J28*K28)*-1)),IF(AND(F28=""Call"",G28=""Buy""),(100*((J28*K28)*-1)),IF(AND(F28=""PUT"",G28=""Buy""),(100*((J28*K28)*-1)),100*(J28*K28)))))",,,,"=IF(E28="""","""",IF(AND(F28=""Stock"",G28=""Buy""),(100*((J28*O28)*1)),IF(AND(F28=""Call"",G28=""Buy""),(100*((J28*O28)*1)),IF(AND(F28=""PUT"",G28=""Buy""),(100*((J28*O28)*1)),(100*(J28*O28))*-1))))","=IF(L28="""","""",L28+P28)","=IF(AND(E28="""",N28=""""),"""",IF(N28="""",TODAY()-E28,N28-E28))",,,,,,,"=IF(W28="""","""",(W28*X28)*-1)"
,,,,,,,,,,,"=IF(E29="""","""",IF(AND(F29=""Stock"",G29=""Buy""),(100*((J29*K29)*-1)),IF(AND(F29=""Call"",G29=""Buy""),(100*((J29*K29)*-1)),IF(AND(F29=""PUT"",G29=""Buy""),(100*((J29*K29)*-1)),100*(J29*K29)))))",,,,"=IF(E29="""","""",IF(AND(F29=""Stock"",G29=""Buy""),(100*((J29*O29)*1)),IF(AND(F29=""Call"",G29=""Buy""),(100*((J29*O29)*1)),IF(AND(F29=""PUT"",G29=""Buy""),(100*((J29*O29)*1)),(100*(J29*O29))*-1))))","=IF(L29="""","""",L29+P29)","=IF(AND(E29="""",N29=""""),"""",IF(N29="""",TODAY()-E29,N29-E29))",,,,,,,"=IF(W29="""","""",(W29*X29)*-1)"
,Total Contracts,Current Strike,,,,,,,,,"=IF(E30="""","""",IF(AND(F30=""Stock"",G30=""Buy""),(100*((J30*K30)*-1)),IF(AND(F30=""Call"",G30=""Buy""),(100*((J30*K30)*-1)),IF(AND(F30=""PUT"",G30=""Buy""),(100*((J30*K30)*-1)),100*(J30*K30)))))",,,,"=IF(E30="""","""",IF(AND(F30=""Stock"",G30=""Buy""),(100*((J30*O30)*1)),IF(AND(F30=""Call"",G30=""Buy""),(100*((J30*O30)*1)),IF(AND(F30=""PUT"",G30=""Buy""),(100*((J30*O30)*1)),(100*(J30*O30))*-1))))","=IF(L30="""","""",L30+P30)","=IF(AND(E30="""",N30=""""),"""",IF(N30="""",TODAY()-E30,N30-E30))",,,,,,,"=IF(W30="""","""",(W30*X30)*-1)"
,"{=LOOKUP(2,1/(J:J<>""""),J:J)}","{=LOOKUP(2,1/(I:I<>""""),I:I)}",,,,,,,,,"=IF(E31="""","""",IF(AND(F31=""Stock"",G31=""Buy""),(100*((J31*K31)*-1)),IF(AND(F31=""Call"",G31=""Buy""),(100*((J31*K31)*-1)),IF(AND(F31=""PUT"",G31=""Buy""),(100*((J31*K31)*-1)),100*(J31*K31)))))",,,,"=IF(E31="""","""",IF(AND(F31=""Stock"",G31=""Buy""),(100*((J31*O31)*1)),IF(AND(F31=""Call"",G31=""Buy""),(100*((J31*O31)*1)),IF(AND(F31=""PUT"",G31=""Buy""),(100*((J31*O31)*1)),(100*(J31*O31))*-1))))","=IF(L31="""","""",L31+P31)","=IF(AND(E31="""",N31=""""),"""",IF(N31="""",TODAY()-E31,N31-E31))",,,,,,,"=IF(W31="""","""",(W31*X31)*-1)"
,,,,,,,,,,,"=IF(E32="""","""",IF(AND(F32=""Stock"",G32=""Buy""),(100*((J32*K32)*-1)),IF(AND(F32=""Call"",G32=""Buy""),(100*((J32*K32)*-1)),IF(AND(F32=""PUT"",G32=""Buy""),(100*((J32*K32)*-1)),100*(J32*K32)))))",,,,"=IF(E32="""","""",IF(AND(F32=""Stock"",G32=""Buy""),(100*((J32*O32)*1)),IF(AND(F32=""Call"",G32=""Buy""),(100*((J32*O32)*1)),IF(AND(F32=""PUT"",G32=""Buy""),(100*((J32*O32)*1)),(100*(J32*O32))*-1))))","=IF(L32="""","""",L32+P32)","=IF(AND(E32="""",N32=""""),"""",IF(N32="""",TODAY()-E32,N32-E32))",,,,,,,
